internal_id,id,name,URI
85,photogrammetry-datasets,photogrammetry_datasets,https://open-archaeo.info/post/photogrammetry-datasets
86,photogrammetry-object-scannner,photogrammetry-object-scannner,https://open-archaeo.info/post/photogrammetry-object-scannner
87,arfloorplanapp,ARFloorPlanApp,https://open-archaeo.info/post/arfloorplanapp
88,arshm-release,arshm-release,https://open-archaeo.info/post/arshm-release
89,dronesurveyplanner,DroneSurveyPlanner,https://open-archaeo.info/post/dronesurveyplanner
90,benmarwickdy-xyz-data-on-an-irregular-grid-to-an-interpolated-raster,benmarwickDY-XYZ-data-on-an-irregular-grid-to-an-interpolated-raster.r,https://open-archaeo.info/post/benmarwickdy-xyz-data-on-an-irregular-grid-to-an-interpolated-raster
91,al2o3-analysisapp,Al2O3_AnalysisApp,https://open-archaeo.info/post/al2o3-analysisapp
92,luminescence,Luminescence,https://open-archaeo.info/post/luminescence
93,baylum,BayLum,https://open-archaeo.info/post/baylum
94,rlummodel,RLumModel,https://open-archaeo.info/post/rlummodel
95,rcarb,Rcarb,https://open-archaeo.info/post/rcarb
96,lumreader,LumReader,https://open-archaeo.info/post/lumreader
97,tldating,Tldating,https://open-archaeo.info/post/tldating
98,shiny-tldating,shiny_Tldating,https://open-archaeo.info/post/shiny-tldating
99,drac-calculator,DRAC-calculator,https://open-archaeo.info/post/drac-calculator
100,shiny-drac,shiny_DRAC,https://open-archaeo.info/post/shiny-drac
101,rxylib,rxylib,https://open-archaeo.info/post/rxylib
102,osl-calibration,osl_calibration.r,https://open-archaeo.info/post/osl-calibration
103,crp2a,crp2a,https://open-archaeo.info/post/crp2a
104,paleoxrf,paleoxrf,https://open-archaeo.info/post/paleoxrf
105,xrf,xrf,https://open-archaeo.info/post/xrf
106,cloudcal,CloudCal,https://open-archaeo.info/post/cloudcal
107,naa-analytical-dashboard,NAA analytical dashboard,https://open-archaeo.info/post/naa-analytical-dashboard
108,bchron,Bchron,https://open-archaeo.info/post/bchron
109,rcarbon,rcarbon,https://open-archaeo.info/post/rcarbon
110,iosacal,IOSACal,https://open-archaeo.info/post/iosacal
111,carbon14,carbon14,https://open-archaeo.info/post/carbon14
112,clustering-14c,clustering_14C,https://open-archaeo.info/post/clustering-14c
113,magaar,magAAR,https://open-archaeo.info/post/magaar
114,rgpr,RGPR,https://open-archaeo.info/post/rgpr
115,archiedb,archiedb,https://open-archaeo.info/post/archiedb
116,archaeology-object-data-collector-app,archaeology-object-data-collector-app,https://open-archaeo.info/post/archaeology-object-data-collector-app
117,ais,AIS,https://open-archaeo.info/post/ais
118,ark1,ARK1,https://open-archaeo.info/post/ark1
119,ark2,Ark2,https://open-archaeo.info/post/ark2
120,ark-addons,ark-addons,https://open-archaeo.info/post/ark-addons
